**** ZASH file ****

Date: 2022-10-16_03-25

2016-02-17 00:02:59 - Attack[6,2016-02-17 00:02:59,INTERNAL,REQUESTED,CONTROL,1,17]
2016-02-17 15:01:25 - Attack[5,2016-02-17 15:01:25,EXTERNAL,PERSONAL,VIEW,2,10]
2016-02-18 21:15:17 - Attack[4,2016-02-18 21:15:17,EXTERNAL,PERSONAL,VIEW,4,11]
2016-03-02 22:20:38 - Attack[1,2016-03-02 22:20:38,EXTERNAL,PERSONAL,VIEW,3,3]
2016-03-06 13:17:33 - Attack[3,2016-03-06 13:17:33,EXTERNAL,PERSONAL,MANAGE,4,9]
2016-03-06 19:02:51 - Attack[10,2016-03-06 19:02:51,EXTERNAL,PERSONAL,MANAGE,3,0]
2016-03-07 16:35:46 - Attack[9,2016-03-07 16:35:46,EXTERNAL,PERSONAL,VIEW,2,11]
2016-03-10 16:48:08 - Attack[8,2016-03-10 16:48:08,EXTERNAL,HOUSE,CONTROL,4,19]
2016-03-14 17:08:20 - Attack[7,2016-03-14 17:08:20,EXTERNAL,PERSONAL,VIEW,4,15]
2016-03-17 19:42:11 - Attack[2,2016-03-17 19:42:11,EXTERNAL,PERSONAL,VIEW,2,16]
**** End of ZASH file ****
