**** ZASH file ****

Date: 2022-10-16_21-18

2016-02-14 01:08:45 - Attack[8,2016-02-14 01:08:45,INTERNAL,REQUESTED,VIEW,3,20]
2016-02-24 20:17:46 - Attack[9,2016-02-24 20:17:46,EXTERNAL,PERSONAL,VIEW,2,23]
2016-03-06 12:36:58 - Attack[5,2016-03-06 12:36:58,EXTERNAL,PERSONAL,VIEW,4,4]
2016-03-09 00:13:00 - Attack[3,2016-03-09 00:13:00,EXTERNAL,HOUSE,VIEW,4,5]
2016-03-09 15:05:47 - Attack[1,2016-03-09 15:05:47,EXTERNAL,PERSONAL,CONTROL,4,5]
2016-03-20 06:01:02 - Attack[10,2016-03-20 06:01:02,EXTERNAL,PERSONAL,CONTROL,4,23]
2016-03-20 09:01:33 - Attack[2,2016-03-20 09:01:33,EXTERNAL,HOUSE,MANAGE,4,11]
2016-03-24 00:10:11 - Attack[7,2016-03-24 00:10:11,EXTERNAL,PERSONAL,CONTROL,3,20]
2016-03-26 03:34:23 - Attack[6,2016-03-26 03:34:23,EXTERNAL,PERSONAL,VIEW,4,8]
2016-03-27 04:31:50 - Attack[4,2016-03-27 04:31:50,EXTERNAL,PERSONAL,VIEW,3,21]
**** End of ZASH file ****
