2016-02-05 01:40:45 - Request[1509,2016-02-05 01:40:45,Device[11,Living Light,NONCRITICAL,4,0],User[1,ADMIN,ADULT],Context[PERSONAL,EXTERNAL,UNCOMMON,ALONE],MANAGE,attack]

2016-02-05 09:46:17 - Request[1621,2016-02-05 09:46:17,Device[28,Bathroom Door,NONCRITICAL,2,0],User[3,CHILD,TEEN],Context[HOUSE,EXTERNAL,UNCOMMON,ALONE],VIEW,attack]

2016-02-11 08:38:04 - Request[3871,2016-02-11 08:38:04,Device[3,Oven,CRITICAL,3,0],User[4,CHILD,KID],Context[PERSONAL,EXTERNAL,UNCOMMON,ALONE],VIEW,attack]

2016-02-15 16:14:07 - Request[5212,2016-02-15 16:14:07,Device[5,Office Door Lock,CRITICAL,5,0],User[5,VISITOR,ADULT],Context[PERSONAL,EXTERNAL,INDEFINITE,ALONE],VIEW,attack]

2016-02-15 17:10:44 - Request[5211,2016-02-15 17:10:44,Device[3,Oven,CRITICAL,3,0],User[5,VISITOR,ADULT],Context[PERSONAL,EXTERNAL,INDEFINITE,ALONE],VIEW,attack]

2016-02-26 16:40:04 - Request[9102,2016-02-26 16:40:04,Device[28,Bathroom Door,NONCRITICAL,2,0],User[2,ADULT,ADULT],Context[REQUESTED,EXTERNAL,UNCOMMON,ALONE],MANAGE,attack]

2016-03-17 05:15:49 - Request[16701,2016-03-17 05:15:49,Device[5,Office Door Lock,CRITICAL,5,0],User[2,ADULT,ADULT],Context[PERSONAL,EXTERNAL,COMMON,ALONE],CONTROL,attack]

2016-03-17 16:00:52 - Request[16896,2016-03-17 16:00:52,Device[6,Office Door,NONCRITICAL,5,0],User[5,VISITOR,ADULT],Context[PERSONAL,EXTERNAL,COMMON,ALONE],CONTROL,attack]

2016-03-17 20:54:08 - Request[17142,2016-03-17 20:54:08,Device[28,Bathroom Door,NONCRITICAL,2,0],User[2,ADULT,ADULT],Context[PERSONAL,EXTERNAL,COMMON,ALONE],CONTROL,attack]

